course_number|course_subject|course_name|course_desc|course_link
7941|SOEN|Master's Research and Thesis (29 credits)| Students are required to submit a thesis prepared under the guidance of a faculty member appointed by the GCS Graduate Studies Committee. The thesis must represent the result of the studentâ€™s independent work undertaken after admission to the program. The thesis will be evaluated by a committee appointed by the GCS Graduate Studies Committee.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6931|ENCS|Industrial Stage and Training (9 credits)|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
8011|ENCS|PhD Seminar (2 credits)|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
8511|ENCS|Doctoral Research Proposal (6 credits)|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
8901|COMP|Doctoral Research and Thesis (70 credits)|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
7311|COEN|Protocol Design and Validation|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6021|ENCS|Engineering Analysis|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6631|COMP|Large-Scale Optimization (4 credits)|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
691|ENGR|Topics in Engineering I| See Note inÂ Topic Area E02|http://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
791|ENGR|Topics in Engineering II| See Note inÂ Topic Area E02|http://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
691|BLDG|Topics in Building Engineering I|Note:Â Subject matter will vary from term to term and from year to year. Students may re-register for these courses, providing that the course content has changed. Changes in content will be indicated by the letter following the course number, e.g. CIVI 691A, CIVI 691B, etc.|http://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
791|BLDG|Topics In Building Engineering II| Note: Subject matter will vary from term to term and from year to year. Students may re-register for these courses, providing that the course content has changed. Changes in content will be indicated by the letter following the course number, e.g. CIVI 691A, CIVI 691B, etc.|http://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
6341|INDU|Advanced Concepts in Quality Improvement (*)|Note: Students who have taken MECH 6461 may not receive credit for this course.|http://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
6651|BLDG|Fire and Smoke Control in Buildings (*)| (Cannot be taken for credit by students who have completed the undergraduate equivalent).Prerequisite: BLDG 6611. Topics treated include: fire and smoke control; failure mechanisms of building enclosure, illustrated by case studies; performance codes for enclosure systems; enclosure design for extreme operation environments. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
6671|BLDG|Diagnostics and Rehabilitation of Building Envelope| Failures in building envelopes. Modes of deterioration including freeze-thaw, chemical, movements. Diagnostics and investigation techniques including field survey instruments. Assessment of intervention magnitude and performance of proposed solutions. Codes, standards and regulations. Case studies.|http://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
7811|BLDG|Project Acquisition and Control|Prerequisites:Â BLDG 6571, 6801. Study of techniques and procedures used for construction project procurement and control. Topics treated include: marketing, bidding strategies, work break-down structure and contract packages, techniques for integrated time and cost control; management information systems for control, procurement; productivity measurement, contingency and escalation analysis and control. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
6043|ENCS|Seminar in Innovation Process (1 credit)|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
6044|ENCS|Practicum in Innovation Process (6 credtis)|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
610|AHSC|Group Process Intervention (3 credits)|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
620|AHSC|Learning and Individual Change Processes (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-ma.html
631|AHSC|Research Methods (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-ma.html
632|AHSC|Planning Human Systems Intervention (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-ma.html
660|AHSC|Philosophy and Ethics of Intervention (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-ma.html
670|AHSC|Consultation Methods (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-ma.html
680|AHSC|Facilitating Individual and Group Learning Processes (6 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-ma.html
685|AHSC|Coaching Interventions and Processes (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-ma.html
675|AHSC|Introduction to Open Systems Theory (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-ma.html
681|AHSC|Special Topics (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-ma.html
682|AHSC|Special Topics (6 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-ma.html
695|AHSC|Independent Study I (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-ma.html
696|AHSC|Independent Study II (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-ma.html
698|AHSC|Masterâ€™s Project (15 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-ma.html
510|AHSC|Advanced Research Methods in Youth Work (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-ma.html
522|AHSC|Fundamentals of Child and Youth Care Work (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
525|AHSC|Individual and Group Intervention with Youth (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
527|AHSC|Advanced Youth Work Intervention: Case Management and Supervision (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
530|AHSC|Community Youth Development (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
540|AHSC|Mental Health and Addictions: Youth Work Perspectives, Policies and Practices (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
565|AHSC|Parent-Child Relations (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
512|AHSC|Sexuality in Human Relations (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
513|AHSC|Family Communication (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
551|AHSC|Counselling Skills and Concepts (6 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
560|AHSC|Health Promotion (6 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
598|AHSC|Special Topics in Youth Work (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
599|AHSC|Independent Study (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
533|AHSC|Internship I in Youth Work (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
537|AHSC|Internship II in Youth Work (6 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
538|AHSC|Extended Internship in Youth Work (9 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
801|BIOL|Pedagogical training|Candidates are required to give four lectures (normally 75 minutes each) to undergraduate classes. Two lectures are in introductory level courses and two in advanced undergraduate courses. Tutorials are provided to introduce students to teaching methods. The course is marked on a pass/fail basis.|https://www.concordia.ca/academics/graduate/calendar/current/fasc/ahsc-dip.html
802|BIOL|Research seminar|Students are required to give one seminar to the Department based upon their research project. Normally the seminar is given in the second or third years of residency. Seminars are graded on a standard scale (A+ to F). The grade is based upon the presentation, content, and the studentâ€™s ability to answer questions. The grade is assigned by the Graduate Program Director in consultation with the candidateâ€™s supervisory committee and other faculty members present at the seminar.|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-phd.html
850|BIOL|Research proposal and qualifying exam|The student prepares a written research proposal based upon the research topic chosen for thesis research. The proposal is prepared in consultation with the supervisory committee and contains a literature review, a progress report and a detailed description of future experiments. The proposal should demonstrate a good understanding of the background of the project, the questions to be answered, and the experimental approaches needed to answer these questions. Both the written proposal and an oral summary of the proposal are presented to the examining committee within one year of entry into the PhD program.|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-phd.html
890|BIOL|Research and thesis|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-phd.html
601|BIOL|Readings in Ecology and Behaviour I|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-phd.html
602|BIOL|Readings in Cell and Molecular Biology I|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
606|BIOL|Readings in Organismal Biology I|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
607|BIOL|Readings in Ecology and Behaviour II|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
608|BIOL|Readings in Cell and Molecular Biology II|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
609|BIOL|Readings in Organismal Biology II|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
612|BIOL|Advanced Topics in Evolution|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
614|BIOL|Advanced Topics in Ecology|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
615|BIOL|Advanced Topics in Animal Biology|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
632|BIOL|Advanced Topics in Cell Biology|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
635|BIOL|Advanced Topics in Molecular Genetics|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
640|BIOL|Advanced Topics in Plant Biology|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
680|BIOL|Advanced Topics in Biology|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
696|BIOL|Masterâ€™s Research and Thesis (36 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
671|CHEM|Structure and Function of Biomembranes|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
678|CHEM|Protein Engineering and Design|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
616|BIOL|Current Advances in Ecological Research|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
622|BIOL|Advanced Techniques in Ecology *|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
623|BIOL|Advanced Applied Ecology and Conservation *|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
661|BIOL|Advanced Tissue Culture *|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
670|BIOL|Scientific Communication|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
687|BIOL|Advanced Molecular Genetics *|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
688|BIOL|Advances in Biological Regulatory Mechanisms *|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
689|BIOL|Advanced Techniques in Molecular Biology *|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
690|BIO|Advanced Gene Structure *|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-msc.html
678|CHEM|Protein Engineering and Design|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-dip.html
37.3333333333333|CHEM|Research Proposal and Comprehensive Examination (9 credits).|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/biol-dip.html
35.6666666666667|CHEM|Doctoral Research and Thesis (72 credits).|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
27.8333333333333|CHEM|PhD Research Seminar (3 credits).|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
612|CHEM|Analytical Separations|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
623|CHEM|Organic Synthesis|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
626|CHEM|Reactive Intermediates|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
