topic_name|topic_url|course_name
Distributed|http://dbpedia.org/resource/Distributed_computing|Distributed System Design
System|http://dbpedia.org/resource/System|Distributed System Design
Design|http://dbpedia.org/resource/Software_design|Distributed System Design
Principles|http://dbpedia.org/resource/Principle|Distributed System Design
distributed computing|http://dbpedia.org/resource/Distributed_computing|Distributed System Design
scalability|http://dbpedia.org/resource/Scalability|Distributed System Design
transparency|http://dbpedia.org/resource/Open_government|Distributed System Design
concurrency|http://dbpedia.org/resource/Concurrent_computing|Distributed System Design
consistency|http://dbpedia.org/resource/Consistency_model|Distributed System Design
fault tolerance|http://dbpedia.org/resource/Fault_tolerance|Distributed System Design
Client-server|http://dbpedia.org/resource/Client–server_model|Distributed System Design
interaction|http://dbpedia.org/resource/Interaction|Distributed System Design
technologies|http://dbpedia.org/resource/Information_technology|Distributed System Design
interprocess communication|http://dbpedia.org/resource/Inter-process_communication|Distributed System Design
sockets|http://dbpedia.org/resource/Network_socket|Distributed System Design
group|http://dbpedia.org/resource/Social_group|Distributed System Design
communication|http://dbpedia.org/resource/Communication|Distributed System Design
remote procedure call|http://dbpedia.org/resource/Remote_procedure_call|Distributed System Design
remote|http://dbpedia.org/resource/Remote_desktop_software|Distributed System Design
method|http://dbpedia.org/resource/Software_development_process|Distributed System Design
invocation|http://dbpedia.org/resource/Remote_procedure_call|Distributed System Design
object|http://dbpedia.org/resource/Object-oriented_programming|Distributed System Design
request|http://dbpedia.org/resource/Hypertext_Transfer_Protocol|Distributed System Design
broker|http://dbpedia.org/resource/Broker|Distributed System Design
CORBA|http://dbpedia.org/resource/Common_Object_Request_Broker_Architecture|Distributed System Design
web services|http://dbpedia.org/resource/Web_service|Distributed System Design
Distributed|http://dbpedia.org/resource/Distributed_computing|Distributed System Design
server|http://dbpedia.org/resource/Web_server|Distributed System Design
process|http://dbpedia.org/resource/Business_process|Distributed System Design
replication|http://dbpedia.org/resource/Reproducibility|Distributed System Design
fault tolerance|http://dbpedia.org/resource/Fault_tolerance|Distributed System Design
passive|http://dbpedia.org/resource/Passive_voice|Distributed System Design
replication|http://dbpedia.org/resource/Reproducibility|Distributed System Design
high availability|http://dbpedia.org/resource/Computer_cluster|Distributed System Design
active|http://dbpedia.org/resource/Active_learning|Distributed System Design
replication|http://dbpedia.org/resource/Reproducibility|Distributed System Design
coordination|http://dbpedia.org/resource/Motor_coordination|Distributed System Design
transactions|http://dbpedia.org/resource/Transaction_processing|Distributed System Design
concurrency control|http://dbpedia.org/resource/Concurrency_control|Distributed System Design
Designing|http://dbpedia.org/resource/Design|Distributed System Design
software|http://dbpedia.org/resource/Application_software|Distributed System Design
fault-tolerant|http://dbpedia.org/resource/Fault_tolerance|Distributed System Design
highly|http://dbpedia.org/resource/Enriched_uranium|Distributed System Design
distributed systems|http://dbpedia.org/resource/Distributed_computing|Distributed System Design
process|http://dbpedia.org/resource/Business_process|Distributed System Design
replication|http://dbpedia.org/resource/Reproducibility|Distributed System Design
Laboratory|http://dbpedia.org/resource/Laboratory|Distributed System Design
week|http://dbpedia.org/resource/Week|Distributed System Design
Parallel|http://dbpedia.org/resource/Parallel_computing|Parallel Programming 
Programming|http://dbpedia.org/resource/Programming_language|Parallel Programming 
Migration|http://dbpedia.org/resource/PC_migration|Parallel Programming 
Von Neumann|http://dbpedia.org/resource/Von_Neumann_architecture|Parallel Programming 
parallel processing|http://dbpedia.org/resource/Parallel_computing|Parallel Programming 
